ID;Date;T[°C];RH[%rH];
1;01/02/2023 10:46:00;21,2;56;
2;01/02/2023 10:51:00;22,3;41,1;
3;01/02/2023 10:56:00;21,6;42,6;
4;01/02/2023 11:01:00;21,4;43,4;
5;01/02/2023 11:06:00;21,2;43,6;
6;01/02/2023 11:11:00;21,1;43,8;
7;01/02/2023 11:16:00;21,1;44;
8;01/02/2023 11:21:00;21,1;44,1;
9;01/02/2023 11:26:00;21,1;44,2;
10;01/02/2023 11:31:00;21,1;44,3;
11;01/02/2023 11:36:00;21,1;44,4;
12;01/02/2023 11:41:00;21,1;44,5;
13;01/02/2023 11:46:00;21;44,5;
14;01/02/2023 11:51:00;21;44,6;
15;01/02/2023 11:56:00;21;44,7;
16;01/02/2023 12:01:00;21,1;44,8;
17;01/02/2023 12:06:00;20,9;38,4;
18;01/02/2023 12:11:00;20,7;40,8;
19;01/02/2023 12:16:00;20,7;40,8;
20;01/02/2023 12:21:00;20,8;41,3;
21;01/02/2023 12:26:00;20,9;41,4;
22;01/02/2023 12:31:00;20,9;41,6;
23;01/02/2023 12:36:00;20,9;41,9;
24;01/02/2023 12:41:00;21;42;
25;01/02/2023 12:46:00;21;42,2;
26;01/02/2023 12:51:00;21;42,3;
27;01/02/2023 12:56:00;21;42,5;
28;01/02/2023 13:01:00;21;42,6;
29;01/02/2023 13:06:00;21;42,7;
30;01/02/2023 13:11:00;21;42,8;
31;01/02/2023 13:16:00;21;42,9;
32;01/02/2023 13:21:00;21;43;
33;01/02/2023 13:26:00;21;43,1;
34;01/02/2023 13:31:00;21;43,1;
35;01/02/2023 13:36:00;21,1;43,2;
36;01/02/2023 13:41:00;21,1;43,2;
37;01/02/2023 13:46:00;21,1;43,3;
38;01/02/2023 13:51:00;21,1;43,3;
39;01/02/2023 13:56:00;21,1;43,4;
40;01/02/2023 14:01:00;21,1;43,4;
41;01/02/2023 14:06:00;21,1;43,4;
42;01/02/2023 14:11:00;21,1;43,4;
43;01/02/2023 14:16:00;21,1;43,5;
44;01/02/2023 14:21:00;21,1;43,5;
45;01/02/2023 14:26:00;21,1;43,6;
46;01/02/2023 14:31:00;21,2;43,6;
47;01/02/2023 14:36:00;21,2;43,6;
48;01/02/2023 14:41:00;21,2;43,6;
49;01/02/2023 14:46:00;21,2;43,6;
50;01/02/2023 14:51:00;21,2;43,7;
51;01/02/2023 14:56:00;21,2;43,7;
52;01/02/2023 15:01:00;21,2;43,7;
53;01/02/2023 15:06:00;21,2;43,7;
54;01/02/2023 15:11:00;21,2;43,7;
55;01/02/2023 15:16:00;21,2;43,7;
56;01/02/2023 15:21:00;21,3;43,8;
57;01/02/2023 15:26:00;21,3;43,7;
58;01/02/2023 15:31:00;21,3;43,7;
59;01/02/2023 15:36:00;21,3;43,7;
60;01/02/2023 15:41:00;21,3;43,7;
61;01/02/2023 15:46:00;21,3;43,7;
62;01/02/2023 15:51:00;21,3;43,7;
63;01/02/2023 15:56:00;21,3;43,7;
64;01/02/2023 16:01:00;21,3;43,6;
65;01/02/2023 16:06:00;21,3;43,7;
66;01/02/2023 16:11:00;21,3;43,7;
67;01/02/2023 16:16:00;21,3;43,7;
68;01/02/2023 16:21:00;21,3;43,7;
69;01/02/2023 16:26:00;21,3;43,7;
70;01/02/2023 16:31:00;21,3;43,7;
71;01/02/2023 16:36:00;21,3;43,8;
72;01/02/2023 16:41:00;21,3;43,7;
73;01/02/2023 16:46:00;21,3;43,7;
74;01/02/2023 16:51:00;21,3;43,7;
75;01/02/2023 16:56:00;21,3;43,6;
76;01/02/2023 17:01:00;21,3;43,6;
77;01/02/2023 17:06:00;21,3;43,5;
78;01/02/2023 17:11:00;21,3;43,5;
79;01/02/2023 17:16:00;21,3;43,5;
80;01/02/2023 17:21:00;21,3;43,5;
81;01/02/2023 17:26:00;21,3;43,5;
82;01/02/2023 17:31:00;21,3;43,4;
83;01/02/2023 17:36:00;21,3;43,4;
84;01/02/2023 17:41:00;21,3;43,4;
85;01/02/2023 17:46:00;21,3;43,4;
86;01/02/2023 17:51:00;21,3;43,3;
87;01/02/2023 17:56:00;21,3;43,3;
88;01/02/2023 18:01:00;21,3;43,2;
89;01/02/2023 18:06:00;21,3;43,2;
90;01/02/2023 18:11:00;21,3;43,2;
91;01/02/2023 18:16:00;21,3;43,1;
92;01/02/2023 18:21:00;21,3;43,1;
93;01/02/2023 18:26:00;21,3;43;
94;01/02/2023 18:31:00;21,3;43;
95;01/02/2023 18:36:00;21,3;43;
96;01/02/2023 18:41:00;21,3;42,9;
97;01/02/2023 18:46:00;21,3;42,9;
98;01/02/2023 18:51:00;21,3;42,9;
99;01/02/2023 18:56:00;21,3;42,8;
100;01/02/2023 19:01:00;21,3;42,8;
101;01/02/2023 19:06:00;21,3;42,8;
102;01/02/2023 19:11:00;21,3;42,7;
103;01/02/2023 19:16:00;21,3;42,7;
104;01/02/2023 19:21:00;21,3;42,7;
105;01/02/2023 19:26:00;21,3;42,6;
106;01/02/2023 19:31:00;21,3;42,6;
107;01/02/2023 19:36:00;21,3;42,6;
108;01/02/2023 19:41:00;21,3;42,6;
109;01/02/2023 19:46:00;21,3;42,6;
110;01/02/2023 19:51:00;21,3;42,6;
111;01/02/2023 19:56:00;21,3;42,6;
112;01/02/2023 20:01:00;21,3;42,5;
113;01/02/2023 20:06:00;21,3;42,5;
