ID;Date;T[°C];RH[%rH];
1;01/02/2023 10:45:00;21,7;66,8;
2;01/02/2023 10:50:00;22,6;46,9;
3;01/02/2023 10:55:00;21,9;48,6;
4;01/02/2023 11:00:00;21,6;49,8;
5;01/02/2023 11:05:00;21,3;50,1;
6;01/02/2023 11:10:00;21,2;50,8;
7;01/02/2023 11:15:00;21,1;51,2;
8;01/02/2023 11:20:00;21;51,4;
9;01/02/2023 11:25:00;21;51,5;
10;01/02/2023 11:30:00;20,9;51,7;
11;01/02/2023 11:35:00;20,9;51,6;
12;01/02/2023 11:40:00;20,9;51,1;
13;01/02/2023 11:45:00;20,8;47,6;
14;01/02/2023 11:50:00;20,8;47;
15;01/02/2023 11:55:00;20,8;47;
16;01/02/2023 12:00:00;20,8;46,9;
17;01/02/2023 12:05:00;20,8;46,7;
18;01/02/2023 12:10:00;20,8;46,7;
19;01/02/2023 12:15:00;20,8;46,5;
20;01/02/2023 12:20:00;20,8;46,4;
21;01/02/2023 12:25:00;20,8;46,3;
22;01/02/2023 12:30:00;20,8;46;
23;01/02/2023 12:35:00;20,8;46;
24;01/02/2023 12:40:00;20,8;45,8;
25;01/02/2023 12:45:00;20,8;45,6;
26;01/02/2023 12:50:00;20,8;45,5;
27;01/02/2023 12:55:00;20,8;45,3;
28;01/02/2023 13:00:00;20,8;45,1;
29;01/02/2023 13:05:00;20,8;45;
30;01/02/2023 13:10:00;20,8;44,9;
31;01/02/2023 13:15:00;20,8;44,8;
32;01/02/2023 13:20:00;20,8;44,7;
33;01/02/2023 13:25:00;20,8;44,7;
34;01/02/2023 13:30:00;20,8;44,6;
35;01/02/2023 13:35:00;20,8;44,4;
36;01/02/2023 13:40:00;20,8;44,4;
37;01/02/2023 13:45:00;20,8;44,3;
38;01/02/2023 13:50:00;20,8;44,3;
39;01/02/2023 13:55:00;20,8;44,2;
40;01/02/2023 14:00:00;20,8;44,1;
41;01/02/2023 14:05:00;20,8;44;
42;01/02/2023 14:10:00;20,8;44;
43;01/02/2023 14:15:00;20,8;43,9;
44;01/02/2023 14:20:00;20,8;43,8;
45;01/02/2023 14:25:00;20,8;43,8;
46;01/02/2023 14:30:00;20,8;43,7;
47;01/02/2023 14:35:00;20,8;43,7;
48;01/02/2023 14:40:00;20,8;43,6;
49;01/02/2023 14:45:00;20,8;43,5;
50;01/02/2023 14:50:00;20,8;43,5;
51;01/02/2023 14:55:00;20,8;43,4;
52;01/02/2023 15:00:00;20,8;43,4;
53;01/02/2023 15:05:00;20,8;43,3;
54;01/02/2023 15:10:00;20,8;43,3;
55;01/02/2023 15:15:00;20,8;43,2;
56;01/02/2023 15:20:00;20,8;43,1;
57;01/02/2023 15:25:00;20,8;43;
