ID;Date;T[°C];RH[%rH];
1;01/02/2023 09:42:00;18,9;55;
2;01/02/2023 09:47:00;20,4;45,2;
3;01/02/2023 09:52:00;20,7;43,9;
4;01/02/2023 09:57:00;20,8;43,3;
5;01/02/2023 10:02:00;21;42,7;
6;01/02/2023 10:07:00;21,1;42,3;
7;01/02/2023 10:12:00;21,2;42,2;
8;01/02/2023 10:17:00;21,3;41,8;
9;01/02/2023 10:22:00;21,3;42;
10;01/02/2023 10:27:00;21,4;41,8;
11;01/02/2023 10:32:00;21,4;41,4;
12;01/02/2023 10:37:00;21,4;41;
13;01/02/2023 10:42:00;21,4;40,9;
14;01/02/2023 10:47:00;21,4;40,5;
15;01/02/2023 10:52:00;21,4;40,3;
16;01/02/2023 10:57:00;21,5;40,3;
17;01/02/2023 11:02:00;21,6;40,5;
18;01/02/2023 11:07:00;21,6;40,5;
19;01/02/2023 11:12:00;21,7;40,2;
20;01/02/2023 11:17:00;21,7;40;
21;01/02/2023 11:22:00;21,8;39,8;
22;01/02/2023 11:27:00;21,8;39,7;
23;01/02/2023 11:32:00;21,8;39,5;
24;01/02/2023 11:37:00;21,8;39,2;
25;01/02/2023 11:42:00;21,8;39;
26;01/02/2023 11:47:00;21,8;39;
27;01/02/2023 11:52:00;21,9;39;
28;01/02/2023 11:57:00;21,9;39;
29;01/02/2023 12:02:00;21,9;38,9;
30;01/02/2023 12:07:00;21,9;38,9;
31;01/02/2023 12:12:00;21,9;38,8;
32;01/02/2023 12:17:00;22;38,6;
33;01/02/2023 12:22:00;22;38,5;
34;01/02/2023 12:27:00;22;38,4;
35;01/02/2023 12:32:00;22,1;38,2;
36;01/02/2023 12:37:00;22,1;38,1;
37;01/02/2023 12:42:00;22,1;38;
38;01/02/2023 12:47:00;22,1;37,9;
39;01/02/2023 12:52:00;22,1;37,8;
40;01/02/2023 12:57:00;22,2;37,7;
41;01/02/2023 13:02:00;22,2;37,6;
42;01/02/2023 13:07:00;22,1;37,6;
43;01/02/2023 13:12:00;22,1;37,5;
44;01/02/2023 13:17:00;22,1;37,4;
45;01/02/2023 13:22:00;22,1;37,4;
46;01/02/2023 13:27:00;22,1;37,3;
47;01/02/2023 13:32:00;22,1;37,2;
48;01/02/2023 13:37:00;22,1;37,2;
49;01/02/2023 13:42:00;22,1;37,1;
50;01/02/2023 13:47:00;22,2;37,1;
51;01/02/2023 13:52:00;22,2;37,1;
52;01/02/2023 13:57:00;22,2;37;
53;01/02/2023 14:02:00;22,2;36,9;
54;01/02/2023 14:07:00;22,2;37;
55;01/02/2023 14:12:00;22,2;36,9;
56;01/02/2023 14:17:00;22,2;36,9;
57;01/02/2023 14:22:00;22,2;36,9;
58;01/02/2023 14:27:00;22,2;36,9;
59;01/02/2023 14:32:00;22,2;36,9;
60;01/02/2023 14:37:00;22,2;36,9;
61;01/02/2023 14:42:00;22,2;36,8;
62;01/02/2023 14:47:00;22,1;36,8;
63;01/02/2023 14:52:00;22,1;36,8;
64;01/02/2023 14:57:00;22,1;36,8;
65;01/02/2023 15:02:00;22,1;36,8;
66;01/02/2023 15:07:00;22,1;36,8;
67;01/02/2023 15:12:00;22;36,9;
68;01/02/2023 15:17:00;22;36,8;
69;01/02/2023 15:22:00;22;36,8;
70;01/02/2023 15:27:00;22;36,8;
71;01/02/2023 15:32:00;22;36,8;
72;01/02/2023 15:37:00;22;36,8;
73;01/02/2023 15:42:00;21,9;36,8;
74;01/02/2023 15:47:00;21,9;36,8;
75;01/02/2023 15:52:00;21,9;36,9;
76;01/02/2023 15:57:00;21,9;37,1;
77;01/02/2023 16:02:00;21,9;37,2;
78;01/02/2023 16:07:00;21,9;37,1;
79;01/02/2023 16:12:00;21,9;36,9;
80;01/02/2023 16:17:00;21,8;36,9;
81;01/02/2023 16:22:00;21,8;36,8;
82;01/02/2023 16:27:00;21,8;36,9;
83;01/02/2023 16:32:00;21,8;36,8;
84;01/02/2023 16:37:00;21,8;36,8;
85;01/02/2023 16:42:00;21,8;36,8;
86;01/02/2023 16:47:00;21,7;36,8;
87;01/02/2023 16:52:00;21,7;36,7;
88;01/02/2023 16:57:00;21,7;36,7;
89;01/02/2023 17:02:00;21,7;36,7;
90;01/02/2023 17:07:00;21,7;36,7;
91;01/02/2023 17:12:00;21,7;36,6;
92;01/02/2023 17:17:00;21,6;36,8;
93;01/02/2023 17:22:00;21,6;36,7;
94;01/02/2023 17:27:00;21,6;36,7;
95;01/02/2023 17:32:00;21,6;36,8;
96;01/02/2023 17:37:00;21,6;36,8;
97;01/02/2023 17:42:00;21,6;36,8;
98;01/02/2023 17:47:00;21,5;36,9;
99;01/02/2023 17:52:00;21,5;37;
100;01/02/2023 17:57:00;21,5;37,1;
101;01/02/2023 18:02:00;21,5;37,5;
102;01/02/2023 18:07:00;21,5;37,5;
103;01/02/2023 18:12:00;21,5;37,7;
104;01/02/2023 18:17:00;21,5;37,7;
105;01/02/2023 18:22:00;21,5;37,8;
106;01/02/2023 18:27:00;21,5;37,9;
107;01/02/2023 18:32:00;21,5;38;
108;01/02/2023 18:37:00;21,5;38;
109;01/02/2023 18:42:00;21,5;38,1;
110;01/02/2023 18:47:00;21,5;38,1;
111;01/02/2023 18:52:00;21,5;38,1;
112;01/02/2023 18:57:00;21,5;38,2;
113;01/02/2023 19:02:00;21,5;38;
114;01/02/2023 19:07:00;21,4;37,9;
115;01/02/2023 19:12:00;21,4;37,8;
116;01/02/2023 19:17:00;21,4;37,8;
117;01/02/2023 19:22:00;21,4;37,7;
118;01/02/2023 19:27:00;21,4;37,6;
119;01/02/2023 19:32:00;21,4;37,7;
120;01/02/2023 19:37:00;21,4;37,6;
121;01/02/2023 19:42:00;21,4;37,6;
122;01/02/2023 19:47:00;21,4;37,5;
123;01/02/2023 19:52:00;21,4;37,5;
124;01/02/2023 19:57:00;21,4;37,6;
125;01/02/2023 20:02:00;21,4;37,7;
126;01/02/2023 20:07:00;21,4;38,1;
127;01/02/2023 20:12:00;21,4;38,2;
128;01/02/2023 20:17:00;21,4;38,3;
129;01/02/2023 20:22:00;21,4;38,4;
130;01/02/2023 20:27:00;21,4;38,4;
131;01/02/2023 20:32:00;21,4;38,4;
132;01/02/2023 20:37:00;21,4;38,5;
133;01/02/2023 20:42:00;21,4;38,5;
134;01/02/2023 20:47:00;21,4;38,6;
135;01/02/2023 20:52:00;21,3;38,6;
136;01/02/2023 20:57:00;21,3;38,6;
137;01/02/2023 21:02:00;21,3;38,7;
138;01/02/2023 21:07:00;21,3;38,7;
139;01/02/2023 21:12:00;21,3;38,7;
140;01/02/2023 21:17:00;21,3;38,7;
141;01/02/2023 21:22:00;21,3;38,8;
142;01/02/2023 21:27:00;21,3;38,8;
143;01/02/2023 21:32:00;21,3;38,8;
144;01/02/2023 21:37:00;21,3;38,7;
145;01/02/2023 21:42:00;21,3;38,6;
146;01/02/2023 21:47:00;21,3;38,6;
147;01/02/2023 21:52:00;21,3;38,6;
148;01/02/2023 21:57:00;21,3;38,6;
149;01/02/2023 22:02:00;21,3;38,6;
150;01/02/2023 22:07:00;21,3;38,5;
151;01/02/2023 22:12:00;21,3;38,4;
152;01/02/2023 22:17:00;21,3;38,4;
153;01/02/2023 22:22:00;21,3;38,3;
154;01/02/2023 22:27:00;21,3;38,3;
155;01/02/2023 22:32:00;21,3;38,1;
156;01/02/2023 22:37:00;21,3;38;
157;01/02/2023 22:42:00;21,2;37,9;
158;01/02/2023 22:47:00;21,2;37,8;
159;01/02/2023 22:52:00;21,2;37,7;
160;01/02/2023 22:57:00;21,2;37,8;
161;01/02/2023 23:02:00;21,2;37,7;
162;01/02/2023 23:07:00;21,2;37,6;
163;01/02/2023 23:12:00;21,2;37,6;
164;01/02/2023 23:17:00;21,2;37,6;
165;01/02/2023 23:22:00;21,2;37,6;
166;01/02/2023 23:27:00;21,2;37,6;
167;01/02/2023 23:32:00;21,2;37,6;
168;01/02/2023 23:37:00;21,2;37,6;
169;01/02/2023 23:42:00;21,2;37,5;
170;01/02/2023 23:47:00;21,1;37,5;
171;01/02/2023 23:52:00;21,1;37,5;
172;01/02/2023 23:57:00;21,1;37,5;
173;02/02/2023 00:02:00;21,1;37,5;
174;02/02/2023 00:07:00;21,1;37,5;
175;02/02/2023 00:12:00;21,1;37,5;
176;02/02/2023 00:17:00;21,1;37,5;
177;02/02/2023 00:22:00;21,1;37,5;
178;02/02/2023 00:27:00;21,1;37,5;
179;02/02/2023 00:32:00;21,1;37,4;
180;02/02/2023 00:37:00;21,1;37,5;
181;02/02/2023 00:42:00;21,1;37,5;
182;02/02/2023 00:47:00;21,1;37,5;
183;02/02/2023 00:52:00;21,1;37,5;
184;02/02/2023 00:57:00;21,1;37,5;
185;02/02/2023 01:02:00;21;37,5;
186;02/02/2023 01:07:00;21;37,5;
187;02/02/2023 01:12:00;21;37,6;
188;02/02/2023 01:17:00;21;37,6;
189;02/02/2023 01:22:00;21;37,6;
190;02/02/2023 01:27:00;21;37,5;
191;02/02/2023 01:32:00;21;37,5;
192;02/02/2023 01:37:00;21;37,6;
193;02/02/2023 01:42:00;21;37,5;
194;02/02/2023 01:47:00;21;37,6;
195;02/02/2023 01:52:00;21;37,5;
196;02/02/2023 01:57:00;21;37,6;
197;02/02/2023 02:02:00;21;37,6;
198;02/02/2023 02:07:00;21;37,6;
199;02/02/2023 02:12:00;21;37,6;
200;02/02/2023 02:17:00;20,9;37,5;
201;02/02/2023 02:22:00;20,9;37,6;
202;02/02/2023 02:27:00;20,9;37,6;
203;02/02/2023 02:32:00;20,9;37,7;
204;02/02/2023 02:37:00;20,9;37,7;
205;02/02/2023 02:42:00;20,9;37,6;
206;02/02/2023 02:47:00;20,9;37,6;
207;02/02/2023 02:52:00;20,9;37,7;
208;02/02/2023 02:57:00;20,9;37,6;
209;02/02/2023 03:02:00;20,9;37,6;
210;02/02/2023 03:07:00;20,9;37,7;
211;02/02/2023 03:12:00;20,9;37,6;
212;02/02/2023 03:17:00;20,9;37,7;
213;02/02/2023 03:22:00;20,9;37,7;
214;02/02/2023 03:27:00;20,9;37,6;
215;02/02/2023 03:32:00;20,9;37,6;
216;02/02/2023 03:37:00;20,9;37,7;
217;02/02/2023 03:42:00;20,9;37,6;
218;02/02/2023 03:47:00;20,9;37,7;
219;02/02/2023 03:52:00;20,9;37,7;
220;02/02/2023 03:57:00;20,9;37,7;
221;02/02/2023 04:02:00;20,8;37,7;
222;02/02/2023 04:07:00;20,8;37,7;
223;02/02/2023 04:12:00;20,8;37,7;
224;02/02/2023 04:17:00;20,8;37,8;
225;02/02/2023 04:22:00;20,8;37,8;
226;02/02/2023 04:27:00;20,8;37,9;
227;02/02/2023 04:32:00;20,8;37,9;
228;02/02/2023 04:37:00;20,8;37,9;
229;02/02/2023 04:42:00;20,8;37,9;
230;02/02/2023 04:47:00;20,8;37,9;
231;02/02/2023 04:52:00;20,8;37,9;
232;02/02/2023 04:57:00;20,8;37,9;
233;02/02/2023 05:02:00;20,8;37,9;
