ID;Date;T[°C];RH[%rH];
1;01/02/2023 10:44:00;21,7;55;
2;01/02/2023 10:49:00;21,4;39,3;
3;01/02/2023 10:54:00;20,1;40,5;
4;01/02/2023 10:59:00;19,7;42,1;
5;01/02/2023 11:04:00;19,5;43,6;
6;01/02/2023 11:09:00;19,4;44,1;
7;01/02/2023 11:14:00;19,3;44,3;
8;01/02/2023 11:19:00;19,3;44,3;
9;01/02/2023 11:24:00;19,3;44,6;
10;01/02/2023 11:29:00;19,3;44,5;
11;01/02/2023 11:34:00;19,2;43,4;
12;01/02/2023 11:39:00;19,1;42,3;
13;01/02/2023 11:44:00;19;44,4;
14;01/02/2023 11:49:00;18,8;43;
15;01/02/2023 11:54:00;18,7;42,1;
16;01/02/2023 11:59:00;18,7;41,8;
17;01/02/2023 12:04:00;18,6;41,5;
18;01/02/2023 12:09:00;18,6;41,1;
19;01/02/2023 12:14:00;18,5;40,9;
20;01/02/2023 12:19:00;18,5;41,1;
21;01/02/2023 12:24:00;18,5;40,7;
22;01/02/2023 12:29:00;18,5;40,5;
23;01/02/2023 12:34:00;18,5;40,5;
24;01/02/2023 12:39:00;18,5;40,4;
25;01/02/2023 12:44:00;18,5;40;
26;01/02/2023 12:49:00;18,5;40,1;
27;01/02/2023 12:54:00;18,5;39,5;
28;01/02/2023 12:59:00;18,5;39,7;
29;01/02/2023 13:04:00;18,5;39,8;
30;01/02/2023 13:09:00;18,5;39,6;
31;01/02/2023 13:14:00;18,5;40;
32;01/02/2023 13:19:00;18,4;40,3;
33;01/02/2023 13:24:00;18,4;39,8;
34;01/02/2023 13:29:00;18,4;40;
35;01/02/2023 13:34:00;18,4;39,6;
36;01/02/2023 13:39:00;18,4;40;
37;01/02/2023 13:44:00;18,4;40,3;
38;01/02/2023 13:49:00;18,5;40,7;
39;01/02/2023 13:54:00;18,5;40,6;
40;01/02/2023 13:59:00;18,5;40,4;
41;01/02/2023 14:04:00;18,6;40,6;
42;01/02/2023 14:09:00;18,6;40,8;
43;01/02/2023 14:14:00;18,6;40,4;
44;01/02/2023 14:19:00;18,6;40,7;
45;01/02/2023 14:24:00;18,6;40,8;
46;01/02/2023 14:29:00;18,6;40,6;
47;01/02/2023 14:34:00;18,6;40,5;
48;01/02/2023 14:39:00;18,6;40,4;
49;01/02/2023 14:44:00;18,6;41;
50;01/02/2023 14:49:00;18,6;40,9;
51;01/02/2023 14:54:00;18,6;40,7;
52;01/02/2023 14:59:00;18,5;41;
53;01/02/2023 15:04:00;18,5;40,7;
54;01/02/2023 15:09:00;18,5;40,6;
55;01/02/2023 15:14:00;18,5;40,5;
56;01/02/2023 15:19:00;18,5;40,3;
57;01/02/2023 15:24:00;18,4;40,3;
58;01/02/2023 15:29:00;18,4;40,3;
59;01/02/2023 15:34:00;18,4;40,3;
60;01/02/2023 15:39:00;18,4;40,4;
61;01/02/2023 15:44:00;18,3;40,6;
