ID;Date;T[°C];RH[%rH];
1;01/02/2023 10:02:00;20,9;55,9;
2;01/02/2023 10:07:00;21,9;41,4;
3;01/02/2023 10:12:00;22;40,9;
4;01/02/2023 10:17:00;22,1;40,8;
5;01/02/2023 10:22:00;22,1;40,5;
6;01/02/2023 10:27:00;22,2;40,5;
7;01/02/2023 10:32:00;22,2;40,4;
8;01/02/2023 10:37:00;22,2;40,2;
9;01/02/2023 10:42:00;22,3;40,3;
10;01/02/2023 10:47:00;22,3;40,4;
11;01/02/2023 10:52:00;22,3;40,2;
12;01/02/2023 10:57:00;22,3;40;
13;01/02/2023 11:02:00;22,4;40,1;
14;01/02/2023 11:07:00;22,4;39,2;
15;01/02/2023 11:12:00;22,4;39,4;
16;01/02/2023 11:17:00;22,4;39,2;
17;01/02/2023 11:22:00;22,4;39;
18;01/02/2023 11:27:00;22,4;38,7;
19;01/02/2023 11:32:00;22,4;38,5;
20;01/02/2023 11:37:00;22,4;38,8;
21;01/02/2023 11:42:00;22,4;38,9;
22;01/02/2023 11:47:00;22,5;39;
23;01/02/2023 11:52:00;22,5;38,9;
24;01/02/2023 11:57:00;22,5;38,8;
25;01/02/2023 12:02:00;22,5;39;
26;01/02/2023 12:07:00;22,5;39,4;
27;01/02/2023 12:12:00;22,5;39,3;
28;01/02/2023 12:17:00;22,5;39,1;
29;01/02/2023 12:22:00;22,6;38,7;
30;01/02/2023 12:27:00;22,6;38,4;
31;01/02/2023 12:32:00;22,6;38,2;
32;01/02/2023 12:37:00;22,6;38;
33;01/02/2023 12:42:00;22,6;37,8;
34;01/02/2023 12:47:00;22,7;37,7;
35;01/02/2023 12:52:00;22,7;37,4;
36;01/02/2023 12:57:00;22,7;37,2;
37;01/02/2023 13:02:00;22,7;37;
38;01/02/2023 13:07:00;22,8;36,8;
39;01/02/2023 13:12:00;22,8;36,8;
40;01/02/2023 13:17:00;22,8;36,7;
41;01/02/2023 13:22:00;22,9;36,5;
42;01/02/2023 13:27:00;22,9;37;
43;01/02/2023 13:32:00;22,9;36,2;
44;01/02/2023 13:37:00;23;36,1;
45;01/02/2023 13:42:00;23;36;
46;01/02/2023 13:47:00;23,1;36;
47;01/02/2023 13:52:00;23,1;35,8;
48;01/02/2023 13:57:00;23,1;35,7;
49;01/02/2023 14:02:00;23,1;35,8;
50;01/02/2023 14:07:00;23,2;35,8;
51;01/02/2023 14:12:00;23,2;35,7;
52;01/02/2023 14:17:00;23,2;35,6;
53;01/02/2023 14:22:00;23,3;35,6;
54;01/02/2023 14:27:00;23,3;35,5;
55;01/02/2023 14:32:00;23,3;35,4;
56;01/02/2023 14:37:00;23,5;35,2;
57;01/02/2023 14:42:00;23,8;34,7;
58;01/02/2023 14:47:00;23,8;34,8;
59;01/02/2023 14:52:00;23,7;34,9;
60;01/02/2023 14:57:00;23,6;34,9;
61;01/02/2023 15:02:00;23,5;35;
62;01/02/2023 15:07:00;23,5;35,1;
63;01/02/2023 15:12:00;23,4;35;
64;01/02/2023 15:17:00;23,4;35;
65;01/02/2023 15:22:00;23,3;35,1;
66;01/02/2023 15:27:00;23,3;35,1;
67;01/02/2023 15:32:00;23,3;35,1;
68;01/02/2023 15:37:00;23,3;35,1;
69;01/02/2023 15:42:00;23,2;35,2;
70;01/02/2023 15:47:00;23,2;35,5;
71;01/02/2023 15:52:00;23,2;35,4;
72;01/02/2023 15:57:00;23,2;35,5;
73;01/02/2023 16:02:00;23,1;35,2;
74;01/02/2023 16:07:00;23,1;35,3;
75;01/02/2023 16:12:00;23,1;35,2;
76;01/02/2023 16:17:00;23,1;35,2;
77;01/02/2023 16:22:00;23,1;35,1;
78;01/02/2023 16:27:00;23;35,1;
79;01/02/2023 16:32:00;23;35,2;
80;01/02/2023 16:37:00;23;35,1;
81;01/02/2023 16:42:00;23;35,2;
82;01/02/2023 16:47:00;23;35,2;
83;01/02/2023 16:52:00;23;35;
84;01/02/2023 16:57:00;23;35,2;
85;01/02/2023 17:02:00;23;35,1;
86;01/02/2023 17:07:00;22,9;35,1;
87;01/02/2023 17:12:00;22,9;35,2;
88;01/02/2023 17:17:00;22,9;35;
89;01/02/2023 17:22:00;22,9;35,2;
90;01/02/2023 17:27:00;22,9;35,1;
91;01/02/2023 17:32:00;22,9;35,1;
92;01/02/2023 17:37:00;22,9;35,2;
93;01/02/2023 17:42:00;22,9;35,6;
94;01/02/2023 17:47:00;22,8;35,5;
95;01/02/2023 17:52:00;22,8;35,5;
96;01/02/2023 17:57:00;22,8;35,5;
97;01/02/2023 18:02:00;22,8;35,5;
98;01/02/2023 18:07:00;22,8;35,6;
99;01/02/2023 18:12:00;22,8;35,7;
100;01/02/2023 18:17:00;22,7;35,6;
101;01/02/2023 18:22:00;22,7;35,7;
102;01/02/2023 18:27:00;22,7;35,7;
103;01/02/2023 18:32:00;22,7;35,8;
104;01/02/2023 18:37:00;22,7;35,7;
105;01/02/2023 18:42:00;22,7;35,7;
106;01/02/2023 18:47:00;22,7;35,8;
107;01/02/2023 18:52:00;22,7;35,8;
108;01/02/2023 18:57:00;22,7;35,8;
109;01/02/2023 19:02:00;22,7;35,7;
110;01/02/2023 19:07:00;22,7;35,8;
111;01/02/2023 19:12:00;22,6;35,7;
112;01/02/2023 19:17:00;22,6;35,8;
113;01/02/2023 19:22:00;22,6;36;
114;01/02/2023 19:27:00;22,6;35,9;
115;01/02/2023 19:32:00;22,6;36,2;
116;01/02/2023 19:37:00;22,6;36,1;
117;01/02/2023 19:42:00;22,6;36,2;
118;01/02/2023 19:47:00;22,6;36,2;
119;01/02/2023 19:52:00;22,6;36,2;
120;01/02/2023 19:57:00;22,6;36,3;
121;01/02/2023 20:02:00;22,6;36,3;
122;01/02/2023 20:07:00;22,6;36,3;
123;01/02/2023 20:12:00;22,6;36,3;
124;01/02/2023 20:17:00;22,6;36,2;
125;01/02/2023 20:22:00;22,6;36,3;
126;01/02/2023 20:27:00;22,6;36,2;
127;01/02/2023 20:32:00;22,6;36,2;
128;01/02/2023 20:37:00;22,6;36,2;
129;01/02/2023 20:42:00;22,6;36,3;
130;01/02/2023 20:47:00;22,5;36,2;
131;01/02/2023 20:52:00;22,5;36,2;
132;01/02/2023 20:57:00;22,5;36,2;
133;01/02/2023 21:02:00;22,5;36,1;
134;01/02/2023 21:07:00;22,5;36,2;
