ID;Date;T[°C];RH[%rH];
1;01/02/2023 10:48:00;21,3;47,8;
2;01/02/2023 10:53:00;22,2;38,2;
3;01/02/2023 10:58:00;21,5;39,3;
4;01/02/2023 11:03:00;21,2;40,4;
5;01/02/2023 11:08:00;21;40,7;
6;01/02/2023 11:13:00;20,8;40,8;
7;01/02/2023 11:18:00;20,8;40,8;
8;01/02/2023 11:23:00;20,7;41,1;
9;01/02/2023 11:28:00;20,7;40,7;
10;01/02/2023 11:33:00;20,7;41,1;
11;01/02/2023 11:38:00;20,6;41,1;
12;01/02/2023 11:43:00;20,6;41,3;
13;01/02/2023 11:48:00;20,6;41,5;
14;01/02/2023 11:53:00;20,6;41,5;
15;01/02/2023 11:58:00;20,7;41,5;
16;01/02/2023 12:03:00;20,7;41,6;
17;01/02/2023 12:08:00;20,7;41,9;
18;01/02/2023 12:13:00;20,7;41,4;
19;01/02/2023 12:18:00;20,8;41,3;
20;01/02/2023 12:23:00;20,9;41,1;
21;01/02/2023 12:28:00;21;40,7;
22;01/02/2023 12:33:00;21,1;40,1;
23;01/02/2023 12:38:00;21,1;40,1;
24;01/02/2023 12:43:00;21,2;40;
25;01/02/2023 12:48:00;21,2;40;
26;01/02/2023 12:53:00;21,3;39,7;
27;01/02/2023 12:58:00;21,3;39,6;
28;01/02/2023 13:03:00;21,4;39,6;
29;01/02/2023 13:08:00;21,4;39,5;
30;01/02/2023 13:13:00;21,4;39,3;
31;01/02/2023 13:18:00;21,3;39,2;
32;01/02/2023 13:23:00;21,3;39,1;
33;01/02/2023 13:28:00;21,3;39,1;
34;01/02/2023 13:33:00;21,3;39;
35;01/02/2023 13:38:00;21,3;39;
36;01/02/2023 13:43:00;21,4;38,9;
37;01/02/2023 13:48:00;21,4;38,9;
38;01/02/2023 13:53:00;21,5;38,8;
39;01/02/2023 13:58:00;21,6;38,8;
40;01/02/2023 14:03:00;21,7;38,8;
41;01/02/2023 14:08:00;21,7;38,6;
42;01/02/2023 14:13:00;21,7;38,5;
43;01/02/2023 14:18:00;21,7;38,5;
44;01/02/2023 14:23:00;21,7;38,5;
45;01/02/2023 14:28:00;21,7;38,3;
46;01/02/2023 14:33:00;21,7;38,3;
47;01/02/2023 14:38:00;21,7;38,3;
48;01/02/2023 14:43:00;21,7;38,2;
49;01/02/2023 14:48:00;21,6;38,2;
50;01/02/2023 14:53:00;21,6;38,2;
51;01/02/2023 14:58:00;21,5;38,2;
52;01/02/2023 15:03:00;21,5;38,1;
53;01/02/2023 15:08:00;21,5;38,2;
54;01/02/2023 15:13:00;21,5;38,2;
55;01/02/2023 15:18:00;21,5;38,2;
56;01/02/2023 15:23:00;21,5;38,3;
57;01/02/2023 15:28:00;21,4;38,1;
58;01/02/2023 15:33:00;21,4;38,1;
59;01/02/2023 15:38:00;21,4;38,2;
60;01/02/2023 15:43:00;21,4;38,1;
61;01/02/2023 15:48:00;21,4;38;
62;01/02/2023 15:53:00;21,4;38;
63;01/02/2023 15:58:00;21,4;37,9;
64;01/02/2023 16:03:00;21,3;37,8;
65;01/02/2023 16:08:00;21,3;37,9;
66;01/02/2023 16:13:00;21,3;38,2;
67;01/02/2023 16:18:00;21,2;38,3;
68;01/02/2023 16:23:00;21,2;38,4;
69;01/02/2023 16:28:00;21,2;38,2;
70;01/02/2023 16:33:00;21,2;38,3;
71;01/02/2023 16:38:00;21,1;38,1;
72;01/02/2023 16:43:00;21,1;38,2;
73;01/02/2023 16:48:00;21,1;38,1;
74;01/02/2023 16:53:00;21,1;38,2;
75;01/02/2023 16:58:00;21,1;38,2;
76;01/02/2023 17:03:00;21,1;38,2;
77;01/02/2023 17:08:00;21,1;38,2;
78;01/02/2023 17:13:00;21;38,3;
79;01/02/2023 17:18:00;21;38,2;
80;01/02/2023 17:23:00;21;38,3;
81;01/02/2023 17:28:00;21;38,2;
82;01/02/2023 17:33:00;21;38,3;
83;01/02/2023 17:38:00;21;38,2;
84;01/02/2023 17:43:00;21;38,3;
85;01/02/2023 17:48:00;21;38,3;
86;01/02/2023 17:53:00;21;38,4;
87;01/02/2023 17:58:00;21;38,3;
88;01/02/2023 18:03:00;20,9;38,4;
89;01/02/2023 18:08:00;20,9;38,5;
90;01/02/2023 18:13:00;20,9;38,5;
91;01/02/2023 18:18:00;20,9;38,5;
92;01/02/2023 18:23:00;20,9;38,4;
93;01/02/2023 18:28:00;20,9;38,5;
94;01/02/2023 18:33:00;20,9;38,5;
95;01/02/2023 18:38:00;20,9;38,5;
96;01/02/2023 18:43:00;20,9;38,6;
97;01/02/2023 18:48:00;20,9;38,6;
98;01/02/2023 18:53:00;20,9;38,7;
99;01/02/2023 18:58:00;20,9;38,6;
100;01/02/2023 19:03:00;20,9;38,7;
101;01/02/2023 19:08:00;20,9;38,7;
102;01/02/2023 19:13:00;20,9;38,7;
103;01/02/2023 19:18:00;20,9;38,8;
104;01/02/2023 19:23:00;20,9;38,8;
105;01/02/2023 19:28:00;20,9;38,8;
106;01/02/2023 19:33:00;20,9;38,9;
107;01/02/2023 19:38:00;20,9;38,9;
108;01/02/2023 19:43:00;20,9;39;
109;01/02/2023 19:48:00;20,9;38,9;
110;01/02/2023 19:53:00;20,9;39;
111;01/02/2023 19:58:00;20,9;39,1;
112;01/02/2023 20:03:00;20,8;39,1;
113;01/02/2023 20:08:00;20,8;39,1;
114;01/02/2023 20:13:00;20,9;39,2;
115;01/02/2023 20:18:00;20,8;39,2;
116;01/02/2023 20:23:00;20,8;39,2;
117;01/02/2023 20:28:00;20,8;39,2;
118;01/02/2023 20:33:00;20,8;39,2;
119;01/02/2023 20:38:00;20,8;39,1;
120;01/02/2023 20:43:00;20,8;39,2;
121;01/02/2023 20:48:00;20,8;39,2;
122;01/02/2023 20:53:00;20,8;39,2;
123;01/02/2023 20:58:00;20,8;39,2;
124;01/02/2023 21:03:00;20,8;39,2;
125;01/02/2023 21:08:00;20,8;39,2;
126;01/02/2023 21:13:00;20,8;39,2;
127;01/02/2023 21:18:00;20,8;39,2;
128;01/02/2023 21:23:00;20,8;39,2;
129;01/02/2023 21:28:00;20,8;39,2;
130;01/02/2023 21:33:00;20,8;39,2;
131;01/02/2023 21:38:00;20,8;39,2;
132;01/02/2023 21:43:00;20,8;39,2;
133;01/02/2023 21:48:00;20,8;39,2;
134;01/02/2023 21:53:00;20,8;39,2;
135;01/02/2023 21:58:00;20,8;39,2;
136;01/02/2023 22:03:00;20,8;39,1;
137;01/02/2023 22:08:00;20,8;39,2;
138;01/02/2023 22:13:00;20,8;39;
139;01/02/2023 22:18:00;20,8;39;
140;01/02/2023 22:23:00;20,9;39,1;
141;01/02/2023 22:28:00;20,9;39;
142;01/02/2023 22:33:00;20,9;38,9;
143;01/02/2023 22:38:00;20,9;38,9;
144;01/02/2023 22:43:00;20,9;38,9;
145;01/02/2023 22:48:00;20,9;38,9;
146;01/02/2023 22:53:00;21;38,8;
147;01/02/2023 22:58:00;21;38,8;
148;01/02/2023 23:03:00;21;38,8;
149;01/02/2023 23:08:00;21;38,8;
150;01/02/2023 23:13:00;21;38,8;
151;01/02/2023 23:18:00;21;38,7;
152;01/02/2023 23:23:00;21;38,7;
153;01/02/2023 23:28:00;21;38,7;
154;01/02/2023 23:33:00;21;38,7;
