ID;Date;T[°C];RH[%rH];
1;01/02/2023 09:58:00;20,7;54,2;
2;01/02/2023 10:03:00;21,3;41;
3;01/02/2023 10:08:00;21,1;41;
4;01/02/2023 10:13:00;21;40,9;
5;01/02/2023 10:18:00;21;40,8;
6;01/02/2023 10:23:00;21;40,7;
7;01/02/2023 10:28:00;21;40,7;
8;01/02/2023 10:33:00;21,1;40,3;
9;01/02/2023 10:38:00;21,1;40,3;
10;01/02/2023 10:43:00;21,1;40,2;
11;01/02/2023 10:48:00;21,1;40,3;
12;01/02/2023 10:53:00;21,1;40,1;
13;01/02/2023 10:58:00;21,1;40,3;
14;01/02/2023 11:03:00;21,2;40,2;
15;01/02/2023 11:08:00;21;39,7;
16;01/02/2023 11:13:00;21,1;40,1;
17;01/02/2023 11:18:00;21,1;39,8;
18;01/02/2023 11:23:00;21,1;39,7;
19;01/02/2023 11:28:00;21,2;39,6;
20;01/02/2023 11:33:00;21,2;39,4;
21;01/02/2023 11:38:00;21,2;39,4;
22;01/02/2023 11:43:00;21,2;39,3;
23;01/02/2023 11:48:00;21,3;39,4;
24;01/02/2023 11:53:00;21,3;39,4;
25;01/02/2023 11:58:00;21,3;39,5;
26;01/02/2023 12:03:00;21,3;39,5;
27;01/02/2023 12:08:00;21,4;39,4;
28;01/02/2023 12:13:00;21,4;39,3;
29;01/02/2023 12:18:00;21,5;39,3;
30;01/02/2023 12:23:00;21,5;39,1;
31;01/02/2023 12:28:00;21,6;38,8;
32;01/02/2023 12:33:00;21,6;38,5;
33;01/02/2023 12:38:00;21,7;38,6;
34;01/02/2023 12:43:00;21,7;38,2;
35;01/02/2023 12:48:00;21,7;38,1;
36;01/02/2023 12:53:00;21,7;37,9;
37;01/02/2023 12:58:00;21,7;37,8;
38;01/02/2023 13:03:00;21,7;37,7;
39;01/02/2023 13:08:00;21,7;37,6;
40;01/02/2023 13:13:00;21,7;37,5;
41;01/02/2023 13:18:00;21,8;37,4;
42;01/02/2023 13:23:00;21,8;37,3;
43;01/02/2023 13:28:00;21,8;37,3;
44;01/02/2023 13:33:00;21,8;37,2;
45;01/02/2023 13:38:00;21,9;37,1;
46;01/02/2023 13:43:00;22;36,9;
47;01/02/2023 13:48:00;22;36,8;
48;01/02/2023 13:53:00;22,1;36,8;
49;01/02/2023 13:58:00;22,2;36,7;
50;01/02/2023 14:03:00;22,2;36,5;
51;01/02/2023 14:08:00;22,3;36,5;
52;01/02/2023 14:13:00;22,3;36,4;
53;01/02/2023 14:18:00;22,3;36,3;
54;01/02/2023 14:23:00;22,4;36,3;
55;01/02/2023 14:28:00;22,4;36,3;
56;01/02/2023 14:33:00;22,4;36;
57;01/02/2023 14:38:00;22,4;36,1;
58;01/02/2023 14:43:00;22,4;36;
59;01/02/2023 14:48:00;22,3;36,1;
60;01/02/2023 14:53:00;22,3;36,1;
61;01/02/2023 14:58:00;22,3;36,1;
62;01/02/2023 15:03:00;22,3;36,1;
63;01/02/2023 15:08:00;22,3;36,1;
64;01/02/2023 15:13:00;22,3;36;
65;01/02/2023 15:18:00;22,3;36;
66;01/02/2023 15:23:00;22,2;36;
67;01/02/2023 15:28:00;22,2;36;
68;01/02/2023 15:33:00;22,2;36;
69;01/02/2023 15:38:00;22,2;36;
70;01/02/2023 15:43:00;22,2;36,1;
71;01/02/2023 15:48:00;22,1;36;
72;01/02/2023 15:53:00;22,1;36;
73;01/02/2023 15:58:00;22,1;36,2;
74;01/02/2023 16:03:00;22;36,2;
75;01/02/2023 16:08:00;22;36,2;
76;01/02/2023 16:13:00;22;36,3;
77;01/02/2023 16:18:00;21,9;36,4;
78;01/02/2023 16:23:00;21,9;36,2;
79;01/02/2023 16:28:00;21,9;36,4;
80;01/02/2023 16:33:00;21,9;36,4;
81;01/02/2023 16:38:00;21,8;36,4;
82;01/02/2023 16:43:00;21,9;36,4;
83;01/02/2023 16:48:00;21,8;36,4;
84;01/02/2023 16:53:00;21,8;36,4;
85;01/02/2023 16:58:00;21,8;36,4;
86;01/02/2023 17:03:00;21,8;36,5;
87;01/02/2023 17:08:00;21,8;36,5;
88;01/02/2023 17:13:00;21,8;36,5;
89;01/02/2023 17:18:00;21,7;36,4;
90;01/02/2023 17:23:00;21,7;36,5;
91;01/02/2023 17:28:00;21,7;36,5;
92;01/02/2023 17:33:00;21,7;36,5;
93;01/02/2023 17:38:00;21,7;36,6;
94;01/02/2023 17:43:00;21,7;36,6;
95;01/02/2023 17:48:00;21,6;36,6;
96;01/02/2023 17:53:00;21,6;36,8;
97;01/02/2023 17:58:00;21,6;36,8;
98;01/02/2023 18:03:00;21,6;36,8;
99;01/02/2023 18:08:00;21,6;36,8;
100;01/02/2023 18:13:00;21,6;36,8;
101;01/02/2023 18:18:00;21,6;36,8;
102;01/02/2023 18:23:00;21,6;36,8;
103;01/02/2023 18:28:00;21,6;36,9;
104;01/02/2023 18:33:00;21,6;36,8;
105;01/02/2023 18:38:00;21,6;36,9;
106;01/02/2023 18:43:00;21,6;36,9;
107;01/02/2023 18:48:00;21,6;37;
108;01/02/2023 18:53:00;21,6;37;
109;01/02/2023 18:58:00;21,6;37;
110;01/02/2023 19:03:00;21,6;37;
111;01/02/2023 19:08:00;21,6;37;
112;01/02/2023 19:13:00;21,6;37,1;
113;01/02/2023 19:18:00;21,6;37,1;
114;01/02/2023 19:23:00;21,6;37,1;
115;01/02/2023 19:28:00;21,6;37,1;
116;01/02/2023 19:33:00;21,6;37,2;
117;01/02/2023 19:38:00;21,5;37,3;
118;01/02/2023 19:43:00;21,5;37,3;
119;01/02/2023 19:48:00;21,5;37,3;
120;01/02/2023 19:53:00;21,6;37,4;
121;01/02/2023 19:58:00;21,5;37,4;
122;01/02/2023 20:03:00;21,6;37,4;
123;01/02/2023 20:08:00;21,6;37,5;
124;01/02/2023 20:13:00;21,6;37,4;
125;01/02/2023 20:18:00;21,5;37,5;
126;01/02/2023 20:23:00;21,5;37,4;
127;01/02/2023 20:28:00;21,5;37,5;
128;01/02/2023 20:33:00;21,5;37,5;
129;01/02/2023 20:38:00;21,5;37,5;
130;01/02/2023 20:43:00;21,5;37,6;
131;01/02/2023 20:48:00;21,5;37,5;
132;01/02/2023 20:53:00;21,5;37,5;
133;01/02/2023 20:58:00;21,5;37,5;
134;01/02/2023 21:03:00;21,5;37,5;
135;01/02/2023 21:08:00;21,5;37,5;
136;01/02/2023 21:13:00;21,5;37,6;
137;01/02/2023 21:18:00;21,5;37,5;
138;01/02/2023 21:23:00;21,4;37,6;
139;01/02/2023 21:28:00;21,4;37,6;
140;01/02/2023 21:33:00;21,4;37,6;
141;01/02/2023 21:38:00;21,4;37,6;
142;01/02/2023 21:43:00;21,4;37,6;
143;01/02/2023 21:48:00;21,4;37,6;
144;01/02/2023 21:53:00;21,4;37,6;
145;01/02/2023 21:58:00;21,4;37,5;
146;01/02/2023 22:03:00;21,4;37,5;
147;01/02/2023 22:08:00;21,4;37,5;
148;01/02/2023 22:13:00;21,4;37,4;
149;01/02/2023 22:18:00;21,4;37,5;
150;01/02/2023 22:23:00;21,4;37,5;
151;01/02/2023 22:28:00;21,4;37,5;
152;01/02/2023 22:33:00;21,4;37,5;
