ID;Date;T[°C];RH[%rH];
1;01/02/2023 10:49:00;21,2;56,1;
2;01/02/2023 10:54:00;21,7;54,5;
3;01/02/2023 10:59:00;20,3;55,1;
4;01/02/2023 11:04:00;19,7;51,1;
5;01/02/2023 11:09:00;19,4;49,5;
6;01/02/2023 11:14:00;19,2;48,8;
7;01/02/2023 11:19:00;19,1;49,4;
8;01/02/2023 11:24:00;19;55,5;
9;01/02/2023 11:29:00;19;60,2;
10;01/02/2023 11:34:00;19;62,3;
11;01/02/2023 11:39:00;19;64,2;
12;01/02/2023 11:44:00;19;67,2;
13;01/02/2023 11:49:00;19,1;68,3;
14;01/02/2023 11:54:00;19,1;70,1;
15;01/02/2023 11:59:00;19,1;67,9;
16;01/02/2023 12:04:00;19,1;63,7;
17;01/02/2023 12:09:00;19,1;56,7;
18;01/02/2023 12:14:00;19;52,5;
19;01/02/2023 12:19:00;19;52,5;
20;01/02/2023 12:24:00;19;54;
21;01/02/2023 12:29:00;19;54,8;
22;01/02/2023 12:34:00;18,9;55,5;
23;01/02/2023 12:39:00;18,9;55,9;
24;01/02/2023 12:44:00;18,9;56,3;
25;01/02/2023 12:49:00;18,9;56,6;
26;01/02/2023 12:54:00;18,8;56,8;
27;01/02/2023 12:59:00;18,8;56,9;
28;01/02/2023 13:04:00;18,8;57,1;
29;01/02/2023 13:09:00;18,8;57,2;
30;01/02/2023 13:14:00;18,8;57,5;
31;01/02/2023 13:19:00;18,8;57,7;
32;01/02/2023 13:24:00;18,8;57,9;
33;01/02/2023 13:29:00;18,8;57,9;
34;01/02/2023 13:34:00;18,7;57,9;
35;01/02/2023 13:39:00;18,7;58,1;
36;01/02/2023 13:44:00;18,7;58,2;
37;01/02/2023 13:49:00;18,7;58,3;
38;01/02/2023 13:54:00;18,7;58,4;
39;01/02/2023 13:59:00;18,7;58,6;
40;01/02/2023 14:04:00;18,7;58,7;
41;01/02/2023 14:09:00;18,7;58,6;
42;01/02/2023 14:14:00;18,7;58,6;
